0: emoji=👀 custom_emoji_id=5210956306952758910
1: emoji=🙂 custom_emoji_id=5461117441612462242
2: emoji=⚡️ custom_emoji_id=5456140674028019486
3: emoji=☄️ custom_emoji_id=5224607267797606837
4: emoji=🛍 custom_emoji_id=5229064374403998351
5: emoji=⛔️ custom_emoji_id=5260293700088511294
6: emoji=🚫 custom_emoji_id=5240241223632954241
7: emoji=❗️ custom_emoji_id=5274099962655816924
8: emoji=‼️ custom_emoji_id=5440660757194744323
9: emoji=⁉️ custom_emoji_id=5314504236132747481
10: emoji=❓ custom_emoji_id=5436113877181941026
11: emoji=⚠️ custom_emoji_id=5447644880824181073
12: emoji=⚠️ custom_emoji_id=5420323339723881652
13: emoji=🌐 custom_emoji_id=5447410659077661506
14: emoji=💬 custom_emoji_id=5443038326535759644
15: emoji=💭 custom_emoji_id=5467538555158943525
16: emoji=❓ custom_emoji_id=5452069934089641166
17: emoji=📊 custom_emoji_id=5231200819986047254
18: emoji=🔼 custom_emoji_id=5449683594425410231
19: emoji=🔽 custom_emoji_id=5447183459602669338
20: emoji=🕯 custom_emoji_id=5451882707875276247
21: emoji=📈 custom_emoji_id=5244837092042750681
22: emoji=📉 custom_emoji_id=5246762912428603768
23: emoji=✔️ custom_emoji_id=5206607081334906820
24: emoji=❌ custom_emoji_id=5210952531676504517
25: emoji=🆒 custom_emoji_id=5222079954421818267
26: emoji=🔔 custom_emoji_id=5458603043203327669
27: emoji=🥸 custom_emoji_id=5391112412445288650
28: emoji=🤡 custom_emoji_id=5269531045165816230
29: emoji=🫦 custom_emoji_id=5395444514028529554
30: emoji=📌 custom_emoji_id=5397782960512444700
31: emoji=💵 custom_emoji_id=5409048419211682843
32: emoji=💸 custom_emoji_id=5233326571099534068
33: emoji=💸 custom_emoji_id=5231449120635370684
34: emoji=💸 custom_emoji_id=5278751923338490157
35: emoji=💸 custom_emoji_id=5290017777174722330
36: emoji=💸 custom_emoji_id=5231005931550030290
37: emoji=💱 custom_emoji_id=5402186569006210455
38: emoji=▶️ custom_emoji_id=5264919878082509254
39: emoji=🔴 custom_emoji_id=5411225014148014586
40: emoji=🟢 custom_emoji_id=5416081784641168838
41: emoji=➡️ custom_emoji_id=5416117059207572332
42: emoji=🔥 custom_emoji_id=5424972470023104089
43: emoji=💥 custom_emoji_id=5276032951342088188
44: emoji=🎙 custom_emoji_id=5294339927318739359
45: emoji=🎤 custom_emoji_id=5224736245665511429
46: emoji=📣 custom_emoji_id=5424818078833715060
47: emoji=🤫 custom_emoji_id=5431609822288033666
48: emoji=👎 custom_emoji_id=5449875686837726134
49: emoji=🗣️ custom_emoji_id=5460795800101594035
50: emoji=🔍 custom_emoji_id=5231012545799666522
51: emoji=🛡 custom_emoji_id=5251203410396458957
52: emoji=🔗 custom_emoji_id=5271604874419647061
53: emoji=🖥 custom_emoji_id=5282843764451195532
54: emoji=© custom_emoji_id=5323442290708985472
55: emoji=ℹ️ custom_emoji_id=5334544901428229844
56: emoji=👍 custom_emoji_id=5337080053119336309
57: emoji=▶️ custom_emoji_id=5348125953090403204
58: emoji=⏸ custom_emoji_id=5359543311897998264
59: emoji=💯 custom_emoji_id=5341498088408234504
60: emoji=🔄 custom_emoji_id=5375338737028841420
61: emoji=🔝 custom_emoji_id=5415655814079723871
62: emoji=🆕 custom_emoji_id=5382357040008021292
63: emoji=🔜 custom_emoji_id=5440621591387980068
64: emoji=📍 custom_emoji_id=5391032818111363540
65: emoji=➕ custom_emoji_id=5397916757333654639
66: emoji=💎 custom_emoji_id=5427168083074628963
67: emoji=⭐️ custom_emoji_id=5438496463044752972
68: emoji=✨ custom_emoji_id=5325547803936572038
69: emoji=👑 custom_emoji_id=5217822164362739968
70: emoji=🗑 custom_emoji_id=5445267414562389170
71: emoji=🔖 custom_emoji_id=5222444124698853913
72: emoji=✉️ custom_emoji_id=5253742260054409879
73: emoji=🔒 custom_emoji_id=5296369303661067030
74: emoji=😮 custom_emoji_id=5303479226882603449
75: emoji=📎 custom_emoji_id=5305265301917549162
76: emoji=⚙️ custom_emoji_id=5341715473882955310
77: emoji=🎮 custom_emoji_id=5361741454685256344
78: emoji=🔈 custom_emoji_id=5388632425314140043
79: emoji=⌛ custom_emoji_id=5386367538735104399
80: emoji=⬇️ custom_emoji_id=5406745015365943482
81: emoji=☀️ custom_emoji_id=5402477260982731644
82: emoji=🌧 custom_emoji_id=5399913388845322366
83: emoji=🌛 custom_emoji_id=5449569374065152798
84: emoji=❄️ custom_emoji_id=5449449325434266744
85: emoji=🌈 custom_emoji_id=5409109841538994759
86: emoji=💧 custom_emoji_id=5393512611968995988
87: emoji=🗓 custom_emoji_id=5413879192267805083
88: emoji=💡 custom_emoji_id=5422439311196834318
89: emoji=🥇 custom_emoji_id=5440539497383087970
90: emoji=🥈 custom_emoji_id=5447203607294265305
91: emoji=🥉 custom_emoji_id=5453902265922376865
92: emoji=🎵 custom_emoji_id=5463107823946717464
93: emoji=🆓 custom_emoji_id=5406756500108501710
94: emoji=✏️ custom_emoji_id=5395444784611480792
95: emoji=🚨 custom_emoji_id=5395695537687123235
96: emoji=🛍 custom_emoji_id=5406683434124859552
97: emoji=🏠 custom_emoji_id=5416041192905265756
98: emoji=🚩 custom_emoji_id=5460755126761312667
99: emoji=🎉 custom_emoji_id=5461151367559141950
